offset,acc,n,subject
1.5,0.42857142857142855,14,20
1.75,0.42857142857142855,14,20
2.0,0.35714285714285715,14,20
2.25,0.35714285714285715,14,20
2.5,0.35714285714285715,14,20
2.75,0.35714285714285715,14,20
3.0,0.35714285714285715,14,20
3.25,0.42857142857142855,14,20
3.5,0.42857142857142855,14,20
3.75,0.35714285714285715,14,20
4.0,0.42857142857142855,14,20
0.5,0.7142857142857143,14,21
0.75,0.5714285714285714,14,21
1.0,0.5714285714285714,14,21
1.25,0.6428571428571429,14,21
1.5,0.6428571428571429,14,21
1.75,0.6428571428571429,14,21
2.0,0.5,14,21
2.25,0.5,14,21
2.5,0.6428571428571429,14,21
2.75,0.6428571428571429,14,21
3.0,0.6428571428571429,14,21
3.25,0.5714285714285714,14,21
3.5,0.6428571428571429,14,21
3.75,0.5714285714285714,14,21
4.0,0.5714285714285714,14,21
0.5,0.35714285714285715,14,22
0.75,0.5714285714285714,14,22
1.0,0.5,14,22
1.25,0.5,14,22
1.5,0.5714285714285714,14,22
1.75,0.6428571428571429,14,22
2.0,0.5,14,22
2.25,0.5714285714285714,14,22
2.5,0.5,14,22
2.75,0.5714285714285714,14,22
3.0,0.5714285714285714,14,22
3.25,0.42857142857142855,14,22
3.5,0.42857142857142855,14,22
3.75,0.35714285714285715,14,22
4.0,0.35714285714285715,14,22
0.5,0.5714285714285714,14,23
0.75,0.5714285714285714,14,23
1.0,0.5714285714285714,14,23
1.25,0.5714285714285714,14,23
1.5,0.5714285714285714,14,23
1.75,0.5714285714285714,14,23
2.0,0.5714285714285714,14,23
2.25,0.5714285714285714,14,23
2.5,0.6428571428571429,14,23
2.75,0.6428571428571429,14,23
3.0,0.6428571428571429,14,23
3.25,0.5714285714285714,14,23
3.5,0.5714285714285714,14,23
3.75,0.5714285714285714,14,23
4.0,0.5714285714285714,14,23
0.5,0.42857142857142855,14,24
0.75,0.5,14,24
1.0,0.5,14,24
1.25,0.5714285714285714,14,24
1.5,0.6428571428571429,14,24
1.75,0.7142857142857143,14,24
2.0,0.7142857142857143,14,24
2.25,0.6428571428571429,14,24
2.5,0.7142857142857143,14,24
2.75,0.7142857142857143,14,24
3.0,0.7857142857142857,14,24
3.25,0.7857142857142857,14,24
3.5,0.7857142857142857,14,24
3.75,0.7857142857142857,14,24
4.0,0.7857142857142857,14,24
0.5,0.5,14,25
0.75,0.5714285714285714,14,25
1.0,0.6428571428571429,14,25
1.25,0.5714285714285714,14,25
1.5,0.7142857142857143,14,25
1.75,0.7142857142857143,14,25
2.0,0.5,14,25
2.25,0.6428571428571429,14,25
2.5,0.6428571428571429,14,25
2.75,0.5714285714285714,14,25
3.0,0.6428571428571429,14,25
3.25,0.7142857142857143,14,25
3.5,0.6428571428571429,14,25
3.75,0.7857142857142857,14,25
4.0,0.7142857142857143,14,25
0.5,0.42857142857142855,14,26
0.75,0.5,14,26
1.0,0.5,14,26
1.25,0.5,14,26
1.5,0.7142857142857143,14,26
1.75,0.7142857142857143,14,26
2.0,0.8571428571428571,14,26
2.25,0.7857142857142857,14,26
2.5,0.7857142857142857,14,26
2.75,0.6428571428571429,14,26
3.0,0.7142857142857143,14,26
3.25,0.7142857142857143,14,26
3.5,0.6428571428571429,14,26
3.75,0.7142857142857143,14,26
4.0,0.6428571428571429,14,26
0.5,0.7142857142857143,14,27
0.75,0.7857142857142857,14,27
